"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1775749157661356500","Thu Apr 04 04:56:05 +0000 2024","0","[cm] Minta bantuannya guyss isi form penelitian skripsi. Buat siapapun yg punya temen saudara atau keluarga dengan kriteria responden : karyawan manufaktur generasi z dengan rentan usia 17-27 th berdomisili di Semarang masa kerja minimal 6 bulan. Bisa komen aja (cont..)","1775749157661356500","","","in","","0","1","0","https://twitter.com/collegemenfess/status/1775749157661356500","1046084008742801408","collegemenfess"
"1775365799961837725","Wed Apr 03 23:42:49 +0000 2024","7","@oxscarletxo Gen Z ini emang generasi bermasalah terutama dalam dunia kerja","1775670320315457697","","oxscarletxo","in","Tanjung Selor, Kaltara","1","0","0","https://twitter.com/widamilan/status/1775670320315457697","210161526","widamilan"
"1775126004077588681","Tue Apr 02 11:39:54 +0000 2024","0","ini generasi milenial pada ngepost gen z mana paham mungkin mereka lagi kangen ato mungkin iri sama gen z yang lagi menikmati masa mudanya ya.. hmm yaudah gih balik kerja sono tar dimarahin ama atasan","1775126004077588681","","","in","Edogawa-ku, Tokyo","0","0","0","https://twitter.com/PRSphtgrph/status/1775126004077588681","1168501330073112576","PRSphtgrph"
"1775117335789289719","Tue Apr 02 11:05:27 +0000 2024","0","Gen z si paling dituduh generasi stroberi gen z si paling di gaslight gen z si paling dipressure kerja. Sekian","1775117335789289719","","","in","","0","0","0","https://twitter.com/ahy_oon/status/1775117335789289719","1715156726041956352","ahy_oon"
"1775113191162593431","Tue Apr 02 10:48:59 +0000 2024","2","Ga bisa kabur sih mesti saling beradaptasi antar generasi krn suatu saat gen Z yang bakal mendominasi dunia kerja","1775113191162593431","","","in","TwitterLand","0","0","0","https://twitter.com/G_P_D_1984/status/1775113191162593431","80365216","G_P_D_1984"
"1774581417533694147","Sun Mar 31 23:35:54 +0000 2024","0","Tren pakaian di tempat kerja semakin mengalami perubahan yang signifikan di China khususnya di kalangan karyawan Generasi Z. Bukan lagi pakaian formal yang mereka pilih namun lebih memilih kenyamanan dengan mengenakan piyama di kantor #MBKBFM https://t.co/AApO3qBwfe","1774581417533694147","","","in","Malang, Indonesia","0","0","0","https://twitter.com/kalimaya_malang/status/1774581417533694147","280794125","kalimaya_malang"
"1774401800604663934","Sun Mar 31 11:42:10 +0000 2024","5","Gen Z pusing kerja jadi generasi sandwich ditambah harus mikirin Erigo sama Erspo adalah 2 entitas yang berbeda.","1774401800604663934","","","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/RahmetAbabil/status/1774401800604663934","894774391","RahmetAbabil"
"1773157685489222135","Thu Mar 28 05:45:49 +0000 2024","44","@lidamaulidash Bukan karena kerja di media atau universitas sih. Kayanya karena Fedi udah berumur millenials batas atas kalau ga salah. Generasi ini kan terutama yg pendidikannya di atas standard lah kecakapan literasinya lumayan. Kalo istilah gen z typingnya cakep.","1773224955963977881","","lidamaulidash","in","","1","1","1","https://twitter.com/ninanenen/status/1773224955963977881","48618537","ninanenen"
"1772534378792366502","Wed Mar 27 03:38:07 +0000 2024","0","@bangopang__ Alih2 mau bikin tren sdh waktunya kepemimpinan oleh generasi muda. Efek domino nya luar biasa terlebih terhadap bagaimana jadinya presepsi gen z/generasi muda/fresh graduate &amp; mereka2 yg ada pada usia2 produktif dalam menyikapi dunia kerja.","1772830433186627812","","bangopang__","in","","0","0","0","https://twitter.com/Awalanur/status/1772830433186627812","848047958025158657","Awalanur"
"1772089298835427406","Mon Mar 25 02:33:07 +0000 2024","1","Sudah siapkah diri kalian untuk berkarir dan berkembang dalam lingkungan kerja yang berbeda generasi? Temukan tips berharga baik dari sudut pandang Gen Z dan Milenial pada Talk Show Navigating the Workplace: Strategies for Gen Z Success . Daftar sekarang melalui: https://t.co/r8QvV9RDZy","1772089298835427406","https://pbs.twimg.com/media/GJe5uAQbUAAh5Lb.jpg","","in","Bandung Indonesia","0","0","0","https://twitter.com/unikomtwit/status/1772089298835427406","106907230","unikomtwit"
"1772060979821760732","Mon Mar 25 00:40:35 +0000 2024","0","Generasi Z dan Revolusi Kerja Fleksibel https://t.co/rSvZpevElf","1772060979821760732","","","in","Indonesia","0","0","0","https://twitter.com/kompasiana/status/1772060979821760732","23786106","kompasiana"
