"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1755413639123923238","Thu Feb 08 09:12:31 +0000 2024","0","@jalanparis @detikcom Pasti mau. Temen gw yg die hardnya Jokowi nentuin pilihan capres ngikut arahan Jokowi. Bahkan bilang Gibran lebih pinter dari Anies Ganjar Imin dan Mahfud. Fun fact: dia pernah kerja di perusahaan impian gen Z dgn posisi tinggi. Kalo udah cinta mati milih PSI mah receh.","1755519970421907679","","jalanparis","in","","1","1","0","https://twitter.com/Ikhwanazis89/status/1755519970421907679","2335942801","Ikhwanazis89"
"1755480650084503978","Thu Feb 08 06:36:16 +0000 2024","41669","AA SOON pemilu 2024 choose ur fighter WISELY krn 5 tahun nanti is OUR YEAR as a gen z.. our year cari kerja our year buat profesi our year s2 our year kuliah ABROAD our year koas our year capns our year buka usaha our year bayar pajak klo salah pilih yg paling kena kita️","1755480650084503978","","","in","From The River To The Sea🇵🇸","1024","98","17023","https://twitter.com/farasnyder/status/1755480650084503978","311331679","farasnyder"
"1755475387478593724","Thu Feb 08 06:15:22 +0000 2024","1","lucu bgt kalo ngebayangin gen z dah punya anak umuran sd ditanya mama nya kerja apa jawabannya bukan dokter/karyawan/accounting/guru dll nya lagi tapi content creator editor sosmed specialist etc ","1755475387478593724","","","in","","0","0","0","https://twitter.com/gyukatsu_ayashi/status/1755475387478593724","182707127","gyukatsu_ayashi"
"1755450831997161754","Thu Feb 08 05:34:33 +0000 2024","0","@bogorfess_ Klo mau temenan boleh saja sini nder gw juga gen z kerja kantoran","1755465115824967853","","noleper","in","teuing","0","0","0","https://twitter.com/noleper/status/1755465115824967853","1295871981280083968","noleper"
"1755459676609925245","Thu Feb 08 05:12:56 +0000 2024","2","SEPERTIGA GEN Z MENGELUH SUSAH CARI KERJA karena itu Calon presiden (capres) nomor urut tiga @ganjarpranowo berjanji akan memprioritaskan penciptaan lapangan pekerjaan jika dirinya terpilih menjadi presiden #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/T5f2t85E3y","1755459676609925245","https://pbs.twimg.com/media/GFylRECbYAA4Ezq.jpg","","in","","0","0","0","https://twitter.com/doctor__fabre/status/1755459676609925245","1227492565525491713","doctor__fabre"
"1755257908642906547","Thu Feb 08 02:26:16 +0000 2024","0","@NOTASLIMBOY Mmng rata2 anak2 gen z skrg cm tau inpo yg jedug2 ada di tiktod aja keknya. Gbsa cr info lbh jauh. Gaes jgn lah pilih 02. Trsrh milih 01/03. Kl klian blg anis hnya bs ngmong jstru utk saat ini kt prlu org yg bisa ngmng &amp; kerja. Bkn hnya kerja kerja kerja aja kdg2 ga jls hasilna","1755417731955069014","","NOTASLIMBOY","in","Bandung, Indonesia","0","0","0","https://twitter.com/R_Godanggg/status/1755417731955069014","2547780962","R_Godanggg"
"1755397202116280491","Thu Feb 08 01:04:41 +0000 2024","0","Pentingnya menanamkan mindset kepada gen z bahwa tempat kerja bukanlah arena mencari pertemanan sejati..","1755397202116280491","","","in","Indonesia","0","0","0","https://twitter.com/dkdinnidk/status/1755397202116280491","288172430","dkdinnidk"
"1755297386518519932","Wed Feb 07 18:28:03 +0000 2024","0","Gen z tiktok nih emg terlalu mengglorifikasi keluarga old money bgt ya dgn embel2 aesthetic padahal mreka gatau aja gimana cara kerja mereka yg kejam itu makanya bisa jadi old money sampai sekarang.","1755297386518519932","","","in","","0","0","0","https://twitter.com/michellexib/status/1755297386518519932","1402708046602661894","michellexib"
"1748966432141173240","Wed Feb 07 16:04:06 +0000 2024","0","@VIVAcoid Gen Z yang milih no 2 yang gak pernah banyak komen tapi banyak berkarya milih pemimpinnya yang tulus gak banyak omong banyak kerja","1755261159484354965","","VIVAcoid","in","","0","0","0","https://twitter.com/TenPiece11/status/1755261159484354965","1613838470220517377","TenPiece11"
"1754870422212952480","Wed Feb 07 12:06:54 +0000 2024","0","@andnwdy @takajapulang @sosmedkeras Ya begitulah watak Gen Z .. Pas sekolah ga serius menyepelekan pelajaran giliran dah lulus pengennya ketrima kerja dan tanpa tes","1755201466556674160","","andnwdy","in","Tanjung Karang Barat","0","0","0","https://twitter.com/prasidha_/status/1755201466556674160","368762538","prasidha_"
